id,name,lat,lon
2,Albacete,38.72278275,-1.9541525272785634
3,Alicante/Alacant,38.36533970000001,-0.7484465269899306
4,Almería,37.2983754,-2.1881501121101934
1,Araba/Álava,42.84407225,-2.6820829322126283
33,Asturias,43.2710878,-5.854145744587305
6,Badajoz,38.696296,-6.220960171522742
7,"Balears, Illes",39.6134018,2.880430532640076
8,Barcelona,41.75786995,2.031182036159852
48,Bizkaia,43.23848200000001,-2.8516316399948196
9,Burgos,42.3247142,-3.6765389112966065
39,Cantabria,43.159566399999996,-4.0878382
12,Castellón/Castelló,40.25185675,-0.06150511010574825
51,Ceuta,35.888360999999996,-5.304138
13,Ciudad Real,38.95975095,-3.88284645910809
15,"Coruña, A",43.0565609,-8.529694099999999
16,Cuenca,39.9424584,-2.1535608384244553
10,Cáceres,39.75917250000001,-6.1379457147709005
11,Cádiz,36.526266299999996,-5.900881981505147
14,Córdoba,37.956711600000006,-4.847724055949036
20,Gipuzkoa,43.14452780000001,-2.2037955488327494
17,Girona,42.073135799999996,2.8357142522894936
18,Granada,37.388831,-3.2393183880901955
19,Guadalajara,40.7399963,-2.505930025884726
21,Huelva,37.5019895,-6.9227984965540985
22,Huesca,42.13606145,-0.02980266271916548
23,Jaén,37.9557275,-3.4920556120372184
24,León,42.63414505,-5.971415104539983
25,Lleida,42.06810015,1.1798873404984742
27,Lugo,43.0462247,-7.4739921
28,Madrid,40.524831899999995,-3.771562775451811
52,Melilla,35.292906,-2.9507198551536247
30,Murcia,38.063432500000005,-1.6718004905591708
29,Málaga,36.79600870000001,-4.547378378829243
31,Navarra,42.61254875,-1.8307876733617532
32,Ourense,42.1968459,-7.6114105
34,Palencia,42.4096322,-4.6161004102930665
35,"Palmas, Las",27.9547346,-15.596105738038414
36,Pontevedra,42.607517200000004,-8.4714942
26,"Rioja, La",42.2814642,-2.482804975070473
37,Salamanca,40.76655815,-6.021764950837537
38,Santa Cruz de Tenerife,28.2863989,-16.796011808910734
40,Segovia,41.10855065,-4.182979645988134
41,Sevilla,37.5192586,-5.6504755124983
42,Soria,41.60125045,-2.7219380354499543
43,Tarragona,41.0529512,0.6270262248933516
44,Teruel,40.600525899999994,-0.9229281754890264
45,Toledo,39.7883415,-4.103027048448444
46,Valencia/València,39.33420575,-0.7973474394744401
47,Valladolid,41.7030484,-4.6969508790351275
49,Zamora,41.6857693,-5.942315018340977
50,Zaragoza,41.84004695,-1.1695090092447569
5,Ávila,40.62327675,-4.835420185671541
